Product Name,Ratings
"1.
      The Shawshank Redemption
(1994)","250.
      Dances with Wolves
(1990)"
"2.
      The Godfather
(1972)","250.
      Dances with Wolves
(1990)"
"3.
      The Dark Knight
(2008)","250.
      Dances with Wolves
(1990)"
"4.
      The Godfather: Part II
(1974)","250.
      Dances with Wolves
(1990)"
"5.
      12 Angry Men
(1957)","250.
      Dances with Wolves
(1990)"
"6.
      Schindler's List
(1993)","250.
      Dances with Wolves
(1990)"
"7.
      The Lord of the Rings: The Return of the King
(2003)","250.
      Dances with Wolves
(1990)"
"8.
      Pulp Fiction
(1994)","250.
      Dances with Wolves
(1990)"
"9.
      The Lord of the Rings: The Fellowship of the Ring
(2001)","250.
      Dances with Wolves
(1990)"
"10.
      The Good, the Bad and the Ugly
(1966)","250.
      Dances with Wolves
(1990)"
"11.
      Forrest Gump
(1994)","250.
      Dances with Wolves
(1990)"
"12.
      Fight Club
(1999)","250.
      Dances with Wolves
(1990)"
"13.
      Inception
(2010)","250.
      Dances with Wolves
(1990)"
"14.
      The Lord of the Rings: The Two Towers
(2002)","250.
      Dances with Wolves
(1990)"
"15.
      Star Wars: Episode V - The Empire Strikes Back
(1980)","250.
      Dances with Wolves
(1990)"
"16.
      The Matrix
(1999)","250.
      Dances with Wolves
(1990)"
"17.
      Goodfellas
(1990)","250.
      Dances with Wolves
(1990)"
"18.
      One Flew Over the Cuckoo's Nest
(1975)","250.
      Dances with Wolves
(1990)"
"19.
      Se7en
(1995)","250.
      Dances with Wolves
(1990)"
"20.
      Seven Samurai
(1954)","250.
      Dances with Wolves
(1990)"
"21.
      It's a Wonderful Life
(1946)","250.
      Dances with Wolves
(1990)"
"22.
      The Silence of the Lambs
(1991)","250.
      Dances with Wolves
(1990)"
"23.
      City of God
(2002)","250.
      Dances with Wolves
(1990)"
"24.
      Saving Private Ryan
(1998)","250.
      Dances with Wolves
(1990)"
"25.
      Life Is Beautiful
(1997)","250.
      Dances with Wolves
(1990)"
"26.
      The Green Mile
(1999)","250.
      Dances with Wolves
(1990)"
"27.
      Star Wars
(1977)","250.
      Dances with Wolves
(1990)"
"28.
      Interstellar
(2014)","250.
      Dances with Wolves
(1990)"
"29.
      Terminator 2: Judgment Day
(1991)","250.
      Dances with Wolves
(1990)"
"30.
      Back to the Future
(1985)","250.
      Dances with Wolves
(1990)"
"31.
      Spirited Away
(2001)","250.
      Dances with Wolves
(1990)"
"32.
      Psycho
(1960)","250.
      Dances with Wolves
(1990)"
"33.
      The Pianist
(2002)","250.
      Dances with Wolves
(1990)"
"34.
      Léon: The Professional
(1994)","250.
      Dances with Wolves
(1990)"
"35.
      Parasite
(2019)","250.
      Dances with Wolves
(1990)"
"36.
      The Lion King
(1994)","250.
      Dances with Wolves
(1990)"
"37.
      American History X
(1998)","250.
      Dances with Wolves
(1990)"
"38.
      Gladiator
(2000)","250.
      Dances with Wolves
(1990)"
"39.
      The Usual Suspects
(1995)","250.
      Dances with Wolves
(1990)"
"40.
      The Departed
(2006)","250.
      Dances with Wolves
(1990)"
"41.
      The Prestige
(2006)","250.
      Dances with Wolves
(1990)"
"42.
      Casablanca
(1942)","250.
      Dances with Wolves
(1990)"
"43.
      Whiplash
(2014)","250.
      Dances with Wolves
(1990)"
"44.
      The Intouchables
(2011)","250.
      Dances with Wolves
(1990)"
"45.
      Modern Times
(1936)","250.
      Dances with Wolves
(1990)"
"46.
      Once Upon a Time in the West
(1968)","250.
      Dances with Wolves
(1990)"
"47.
      Hara-Kiri
(1962)","250.
      Dances with Wolves
(1990)"
"48.
      Grave of the Fireflies
(1988)","250.
      Dances with Wolves
(1990)"
"49.
      Rear Window
(1954)","250.
      Dances with Wolves
(1990)"
"50.
      Alien
(1979)","250.
      Dances with Wolves
(1990)"
"51.
      City Lights
(1931)","250.
      Dances with Wolves
(1990)"
"52.
      Cinema Paradiso
(1988)","250.
      Dances with Wolves
(1990)"
"53.
      Memento
(2000)","250.
      Dances with Wolves
(1990)"
"54.
      Apocalypse Now
(1979)","250.
      Dances with Wolves
(1990)"
"55.
      Indiana Jones and the Raiders of the Lost Ark
(1981)","250.
      Dances with Wolves
(1990)"
"56.
      Django Unchained
(2012)","250.
      Dances with Wolves
(1990)"
"57.
      WALL·E
(2008)","250.
      Dances with Wolves
(1990)"
"58.
      The Lives of Others
(2006)","250.
      Dances with Wolves
(1990)"
"59.
      Sunset Blvd.
(1950)","250.
      Dances with Wolves
(1990)"
"60.
      Paths of Glory
(1957)","250.
      Dances with Wolves
(1990)"
"61.
      The Shining
(1980)","250.
      Dances with Wolves
(1990)"
"62.
      The Great Dictator
(1940)","250.
      Dances with Wolves
(1990)"
"63.
      Witness for the Prosecution
(1957)","250.
      Dances with Wolves
(1990)"
"64.
      Avengers: Infinity War
(2018)","250.
      Dances with Wolves
(1990)"
"65.
      Aliens
(1986)","250.
      Dances with Wolves
(1990)"
"66.
      American Beauty
(1999)","250.
      Dances with Wolves
(1990)"
"67.
      Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
(1964)","250.
      Dances with Wolves
(1990)"
"68.
      The Dark Knight Rises
(2012)","250.
      Dances with Wolves
(1990)"
"69.
      Spider-Man: Into the Spider-Verse
(2018)","250.
      Dances with Wolves
(1990)"
"70.
      Joker
(2019)","250.
      Dances with Wolves
(1990)"
"71.
      Oldboy
(2003)","250.
      Dances with Wolves
(1990)"
"72.
      Braveheart
(1995)","250.
      Dances with Wolves
(1990)"
"73.
      Amadeus
(1984)","250.
      Dances with Wolves
(1990)"
"74.
      Toy Story
(1995)","250.
      Dances with Wolves
(1990)"
"75.
      The Boat
(1981)","250.
      Dances with Wolves
(1990)"
"76.
      Coco
(2017)","250.
      Dances with Wolves
(1990)"
"77.
      Inglourious Basterds
(2009)","250.
      Dances with Wolves
(1990)"
"78.
      Princess Mononoke
(1997)","250.
      Dances with Wolves
(1990)"
"79.
      Once Upon a Time in America
(1984)","250.
      Dances with Wolves
(1990)"
"80.
      Avengers: Endgame
(2019)","250.
      Dances with Wolves
(1990)"
